name	unit
ABAISSE LANGUE	UNITE
ABOCATH G22	UNITE
ABOCATH G24	UNITE
ACIDE FOLIC COMPRIME	UNITE
ADRENALINE INJECTABLE	FLACON
ALCOOL DENATURE 5L	LITRE
ALCOOL DENATURE 70% / 100ML	FLACON
ALCOOL DENATURE 70% 5L	LITRE
AMINOFILINE CES	UNITE
AMLOX 10 MG	COMPRIME
AMOL-G CREME	UNITE
AMOXICILLINE CAPS 1G	FLACON
AMOXICILLINE CAPS 500 MG	UNITE
AMOXYCILLINE + ACIDE CLAULANIQUE	UNITE
AMOXYCILLINE CAPS 250 MG	UNITE
AMOXYCILLINE FLACON 250MG	FLACON
AMPICILLINE INJECTABLE 1G	FLACON
ANAFLAM COMPRIME	UNITE
ANAFLAM SIROP	FLACON
ANTIGALE	UNITE
ANTITOXINE TETANIQUE BP 1500 UI INJECTABLE	FLACON
ARAUCIP	UNITE
ARAUCOLD	UNITE
ARODERME POMMADE	UNITE
ARODERME POUDRE	UNITE
AROLUM	COMPRIME
ARTEMETHER COMPRIME 80 MG	UNITE
ARTEMETHER COMPRIME ADULTE	UNITE
ARTEMETHER INJECTABLE	AMPOULE
ARTEQUICK	UNITE
ASPIRINE 500 MG	COMPRIME
ASPIRINE JUNIOR	UNITE
ATENOL 120 MG INJECTABLE	FLACON
ATENOL 60 MG INJECTABLE	FLACON
ATROPINE INJECTABLE	FLACON
AZITHROMYCINE	UNITE
AZITHROMYCINE + FLUCONAZOLE	UNITE
AZITHROMYCINE 500MG	FLACON
BANDE CAMBRIC 10CM	UNITE
BANDE CAMBRIQUE	UNITE
BANDE ELASTIQUE 10CM	UNITE
BANDE ELASTIQUE 7CM	UNITE
BAUME DE NERF 120ML	FLACON
BAUME DE NERF 80ML	FLACON
BETADINE POVIDONE 10%	FLACON
BIEN MANGER CES	UNITE
BIEN MANGER COMPRIME	UNITE
BIEN MANGER SIROP	FLACON
BUSCOPAN	COMPRIME
BUSCOPAN CES	UNITE
BUSCOPAN INJECTABLES	FLACON
CAPTOPRIL	UNITE
CARBOKINA	UNITE
CEFIXIME 200MG	UNITE
CEFIXIME 400 MG	COMPRIME
CEFPODOXIME	UNITE
CEFTRIAXONE	FLACON
CEFTRIAXONE 1G	FLACON
CEPDOXIME 200 MG	COMPRIME
CESAKROL	UNITE
CESAKROL SIROP	FLACON
CETHER-L	UNITE
CETHER-L ADULTE	UNITE
CETHER-L CES	UNITE
CHLORAMIN 500 MG	UNITE
CHLORAMPHENICOL	COLLYRE
CHLORAMPHENICOL COLLYRE	FLACON
CHLORPHENIRAMINE	UNITE
CIMETIDINE CES	UNITE
CIMETIDINE INJECTABLE	FLACON
CIPROFLOXACINE	COMPRIME
CIPROFLOXACINE 500 MG	UNITE
CIPROFLOXACINE CES	UNITE
CIPROFLOXACINE COLLYRE	FLACON
CIPROFLOXACINE INFUSION	FLACON
CLARINEX GOUTTE NASALE	FLACON
CLARINEZ	UNITE
CLORAMINE	UNITE
CLOXACILLINE 500 MG	CAPSULE
COARTEM COMPRIME	UNITE
COARTEM CES	UNITE
COLOSAX-SERTE	UNITE
COMBO-PAIN COMPRIME	UNITE
COMBO-PAIN	COMPRIME
COMPRESSE STERILE	UNITE
CONFO	UNITE
COTRIMOXAZOLE 480MG COMPRIME	UNITE
COTRIMOXAZOLE FORTE	UNITE
COTRIMOXAZOLE SIROP	FLACON
DETTOL SAVON	UNITE
DEXA COLLYRE	FLACON
DEXAMETHASONE INJECTABLE	FLACON
DEXAMETHASONE + NEOMYCINE	UNITE
DEXAMETHASONE COMPRIME	UNITE
DIAZEPAM 10 MG COMPRIME	UNITE
DIAZEPAM COMPRIMES	UNITE
DIAZEPAM INJECTABLE	AMPOULE
DICLOFENAC CES	UNITE
DICLOFENAC COMPRIME	UNITE
DICLOFENAC GEL	UNITE
DICLOFENAC INJECTABLE	AMPOULE
DICLOFENAC SUPPOSITOIRE	UNITE
DOCTEUR COLD COMPRIME	UNITE
DOLAREN	SPRAY
DOLAREN SPRAY	FLACON
DOLARENE PLUS	UNITE
DOLIPRANE	UNITE
DOLIPRANE 1000 MG	UNITE
DOXYCYCLINE 100 MG	UNITE
DOXYCYCLINE CAPSULE	UNITE
DR COLD	COMPRIME
EAU DIGESTIVE	FLACON
EAU DISTILLEE	UNITE
EFISHAL GELULE	UNITE
ERYTHROCINE CES 500MG	UNITE
ERYTHROMYCINE 250 MG	COMPRIME
ERYTHROMYCINE 500 MG	COMPRIME
FILS DE SUTURE CHROMIQUE	UNITE
FILS DE SUTURE VIKRIL	UNITE
FLAZINE CREME 50GR	UNITE
FUROSEMIDE INJECTABLE	FLACON
GANT D’EXAMEN	UNITE
GANT STERILE	UNITE
GAZ HYDROPHILE STERILE	UNITE
GENTAMYCINE COLLYRE	FLACON
HEMOGLOBIBINE 12	UNITE
HEMOGLOBINE B12 SIROP	FLACON
HEMORROÏDAL SUPPOSITOIRE	UNITE
HYDROCORTISONE	UNITE
HYPARTYL PLUS	UNITE
IBUCAP FORT	UNITE
IBUPROFENE 200 MG	COMPRIME
IBUPROFENE 400 MG	UNITE
INDOCIDE CAPSULE	UNITE
INDOMETHACINE SUPPOSITOIRE	UNITE
KAPTOL	UNITE
KAPTOL SIROP	FLACON
KETAZOL COMPRIMES	UNITE
KETAZOL CREME 15G	UNITE
KIFARU COMPRIMES	UNITE
LEOPARD	TUBE
LEVONORGESTREL PILULE S	UNITE
LIDOCAINE INJECTABLE	FLACON
LOPRADE COMPRIMES	UNITE
LUAGRA COMPRIMES	UNITE
MAGNAVIT GELULE	UNITE
MEBENDAZOLE 100MG	UNITE
MEBENDAZOLE COMPRIMES	UNITE
MEPROBAMATE	UNITE
METRONIDAZOLE	INFUSION
METRONIDAZOLE 250 MG	UNITE
METRONIDAZOLE COMPRIMES	UNITE
METRONIDAZOLE INFUSION	FLACON
NAM COLD GOUTTE NASALE	FLACON
NAOMI	TUBE
NAOMI TRIPLE ACTION CREME	UNITE
NECLAZ-M	UNITE
NITROFURANTOINE CES	UNITE
NOCYGEL SIROP 200ML	FLACON
NORMET COMPRIMES	UNITE
OMEPRAZOLE CAPSULE	UNITE
ONDANSETRON AMPOULE	AMPOULE
OPTICRON COLLYRE	FLACON
OUATE	UNITE
PAPAVERINE INJECTABLE	FLACON
PAPAVERINE COMPRIMES	UNITE
PARACETAMOL SIROP	FLACON
PARACETAMOL COMPRIMES	UNITE
PARACETAMOL INFUSION	FLACON
PARACETAMOL INJECTABLE	FLACON
PARACETAMOL VIT C	UNITE
PATHOUX PASTILAS	UNITE
PATOUX	UNITE
PED-ZINC COMPRIMES	UNITE
PENI-V	UNITE
POLYGEL COMPRIMES	UNITE
POLYGEL SIROP	FLACON
POMMADE ANTIGALE	UNITE
POMMADE ARODERME	UNITE
POMMADE CAMPHREE	UNITE
POMMADE LEOPARD	UNITE
PREDNISOLONE	UNITE
PROMETHAZINE COMPRIMES	UNITE
PRUDENCE	UNITE
QUININE	GOUTTE
QUININE 500 MG	COMPRIME
QUININE CES 500MG	UNITE
QUININE GOUTTE	FLACON
RECTOSOL SUPPOSITOIRE	UNITE
RELIEF COMPRIME	UNITE
RUFEDOL CES	UNITE
SALBUTAMOL CES	UNITE
"SALBUTAMOL SPRAY 0,1 MG"	FLACON
SALBUTAMOL SUPPOSITOIRE	UNITE
SERINGUE 10 ML	UNITE
SERINGUE 3ML	UNITE
SERINGUE 5 ML	UNITE
SERUM GLUCOSE 10%	FLACON
SERUM GLUCOSE 5%	FLACON
SERUM ORAL	FLACON
SERUM RINGER 500ML	FLACON
SHALDEX	UNITE
SOCOMOL	UNITE
"SOLUTION PHYSIOLOGIQUE 0,9%"	FLACON
STAINED SALMONELLA WIDAL	UNITE
TANZOL	UNITE
TANZOL 400MG	UNITE
TESTE TIGETE	UNITE
TETRACYCLINE	CAPSULE
THIAMINE 100 MG	UNITE
TRAMADOL INJECTABLE	FLACON
TRAMADOL 50 MG CAPSULE	UNITE
TRAMADOL 50 MG INJECTABLE	FLACON
TRIBEX INJECTABLE	UNITE
TRIBEX COMPRIME	UNITE
TRIBEX FORT GELULES	UNITE
TROIS PLUS FORT INJECTABLE	FLACON
TROUSSE PERFUSION	UNITE
TUBE LEOPARD	UNITE
TULL GRAS	UNITE
VIFEX SIROP	UNITE
VIT K3 INJECTABLE	FLACON
VITAMINE B1 COMPRIME	UNITE
VITAMINE BCO INJECTABLE	FLACON
VITAMINE C COMPRIME	UNITE
VITAMINE C INJECTABLE	FLACON
ZINC COMPRIME (CAZINC)	UNITE
	
	
	
	
	
	
	
	
	
	
	
